1515.9,1.6416
1520.4,1.6233
1525.8,1.6068
1530.3,1.5985
1535.7,1.5862
1540.2,1.5672
1545.6,1.5476
1550.1,1.5454
1555.5,1.5291
1560.1,1.5073
1565.5,1.489
1570,1.4812
1575.5,1.4619
1580.9,1.4454
1585.4,1.4354
1590.9,1.4364
1595.4,1.434
1600.8,1.4266
1605.4,1.4283
1610.8,1.4204
1615.4,1.4134
1620.8,1.4073
1625.4,1.397
1630.8,1.3895
1635.4,1.3864
1640.8,1.3957
1645.3,1.4049
1650.7,1.4201
1655.2,1.4287
1660.6,1.4378
1665.1,1.4606
1670.5,1.4758
1675.9,1.4677
1680.4,1.447
1685.9,1.4183
1690.5,1.408
1695,1.396
1700.5,1.379
1705.1,1.3627
1710.6,1.3416
1715.2,1.3113
1720.7,1.2751
1725.3,1.2169
1730.9,1.1259
1735.5,1.045
1740.2,0.97653
1745.7,0.89009
1750.3,0.82943
1755.8,0.79734
1760.3,0.75785
1765.7,0.72811
1770.2,0.71005
1775.5,0.68038
1780.9,0.66276
1785.4,0.64573
1790.8,0.61289
1795.3,0.58098
1800.7,0.54508
1805.3,0.51483
1810.8,0.47556
1815.3,0.44428
1820.8,0.41485
1825.4,0.39316
1830.8,0.35502
1835.4,0.327
1840.7,0.30533
1845.1,0.28976
1850.3,0.26389
1855.4,0.23741
1860.5,0.22058
1865.5,0.20806
1870.4,0.2047
1875.4,0.21794
1880.2,0.21433
1885.8,0.1959
1890.4,0.17382
1895.7,0.13948
1900,0.11936
1905,0.09785
1910.5,0.080288
1915.3,0.059962
1920,0.029917
1925.2,-0.031984
1930.3,-0.091905
1935.3,-0.17321
1940.2,-0.21111
1945.4,-0.18275
1950.5,-0.14634
1955.5,-0.10155
1960.2,-0.084229
1965.3,-0.058668
1970.3,-0.05217
1975.3,-0.021077
1980.3,0.0038321
1985.1,0.012796
