-109.83,-932.15,1.9353
-107.48,-936.66,1.9552
-104.14,-940.35,1.9822
-100.15,-943.16,2.0109
-95.199,-945.29,2.0302
-90.628,-946.51,2.0929
-85.391,-947.23,2.1554
-80.655,-947.48,2.2017
-75.818,-947.4,2.245
-70.268,-946.72,2.2669
-65.922,-945.62,2.2776
-61.031,-943.66,2.2671
-56.931,-941.26,2.2553
-52.594,-937.73,2.2279
-49.699,-934.55,2.2058
-46.818,-930.31,2.1747
-44.463,-925.61,2.1396
-42.676,-920.54,2.1047
-41.656,-915.97,2.0815
-41,-911.26,2.0549
-40.489,-906.45,2.0138
-39.938,-900.75,1.9607
-39.455,-895.79,1.9712
-38.94,-890.76,1.9829
-38.497,-886.51,1.9769
-37.945,-881.35,1.9617
-37.383,-876.12,1.9267
-36.834,-870.8,1.8878
-36.378,-866.32,1.8657
-35.796,-860.91,1.8504
-35.288,-856.4,1.8605
-34.65,-851,1.8752
-34.123,-846.52,1.8684
-33.482,-841.15,1.8574
-32.934,-836.67,1.8554
-32.286,-831.3,1.8594
-31.749,-826.82,1.8604
-31.098,-821.45,1.8461
-30.55,-816.96,1.8268
-29.89,-811.55,1.795
-29.341,-807.03,1.7771
-28.706,-801.62,1.7508
-28.198,-797.1,1.7317
-27.595,-791.68,1.711
-27.087,-787.16,1.6689
-26.476,-781.76,1.672
-25.952,-777.27,1.6753
-25.315,-771.89,1.6649
-24.642,-766.53,1.6598
-24.095,-762.08,1.6607
-23.457,-756.71,1.6641
-22.935,-752.24,1.6386
-22.306,-746.85,1.6439
-21.764,-742.36,1.6381
-21.13,-736.97,1.6468
-20.618,-732.46,1.6437
-20.003,-727.05,1.623
-19.497,-722.52,1.5995
-18.895,-717.08,1.59
-18.399,-712.55,1.6082
-17.807,-707.12,1.6186
-17.309,-702.61,1.6127
-16.678,-697.2,1.5964
-16.15,-692.7,1.5968
-15.529,-687.31,1.6221
-15.018,-682.83,1.6498
-14.423,-677.48,1.6847
-13.837,-672.15,1.7241
-13.354,-667.73,1.7555
-12.777,-662.41,1.7819
-12.296,-657.96,1.8132
-11.722,-652.58,1.8379
-11.234,-648.08,1.8553
-10.624,-642.66,1.8907
-10.091,-638.15,1.9297
-9.4323,-632.74,1.9836
-8.8494,-628.25,2.0203
-8.1317,-622.87,2.0748
-7.418,-617.52,2.1312
-6.8227,-613.05,2.1558
-6.1023,-607.67,2.1612
-5.5127,-603.16,2.1602
-4.7929,-597.7,2.1313
-4.2023,-593.11,2.0983
-3.6231,-588.51,2.0511
-2.9488,-582.99,2.0612
-2.4051,-578.42,2.0858
-1.7588,-573,2.1076
-1.2332,-568.5,2.0999
-0.60131,-563.11,2.0832
-0.075398,-558.62,2.0681
0.55958,-553.22,2.0537
1.0842,-548.72,2.0414
1.7267,-543.32,2.015
2.2689,-538.81,1.9993
2.9287,-533.41,1.9983
3.4864,-528.9,1.99
4.1581,-523.49,1.9597
4.7063,-518.97,1.9479
5.3566,-513.56,1.9284
5.9032,-509.04,1.9186
6.549,-503.63,1.9013
7.0782,-499.11,1.8844
7.7062,-493.7,1.8642
8.2363,-489.17,1.8446
8.875,-483.75,1.822
9.4123,-479.22,1.806
10.059,-473.78,1.7921
10.599,-469.24,1.7807
11.246,-463.79,1.7584
11.78,-459.25,1.7306
12.416,-453.79,1.7049
12.94,-449.25,1.695
13.569,-443.81,1.685
14.095,-439.28,1.6756
14.727,-433.86,1.6416
15.253,-429.36,1.6233
15.888,-423.97,1.6068
16.426,-419.49,1.5985
17.059,-414.13,1.5862
17.585,-409.66,1.5672
18.207,-404.3,1.5476
18.725,-399.83,1.5454
19.347,-394.46,1.5291
19.866,-389.97,1.5073
20.486,-384.57,1.489
20.999,-380.07,1.4812
21.622,-374.66,1.4619
22.253,-369.25,1.4454
22.778,-364.75,1.4354
23.404,-359.34,1.4364
23.931,-354.84,1.434
24.562,-349.44,1.4266
25.079,-344.94,1.4283
25.705,-339.54,1.4204
26.223,-335.03,1.4134
26.833,-329.62,1.4073
27.335,-325.1,1.397
27.926,-319.67,1.3895
28.416,-315.15,1.3864
28.993,-309.74,1.3957
29.474,-305.24,1.4049
30.05,-299.87,1.4201
30.531,-295.41,1.4287
31.113,-290.06,1.4378
31.612,-285.61,1.4606
32.214,-280.25,1.4758
32.816,-274.87,1.4677
33.327,-270.36,1.447
33.954,-264.92,1.4183
34.483,-260.38,1.408
35.013,-255.83,1.396
35.647,-250.37,1.379
36.173,-245.82,1.3627
36.809,-240.35,1.3416
37.332,-235.8,1.3113
37.944,-230.32,1.2751
38.455,-225.74,1.2169
39.055,-220.22,1.1259
39.553,-215.6,1.045
40.045,-210.99,0.97653
40.635,-205.47,0.89009
41.12,-200.89,0.82943
41.698,-195.44,0.79734
42.186,-190.93,0.75785
42.76,-185.57,0.72811
43.23,-181.14,0.71005
43.781,-175.82,0.68038
44.315,-170.51,0.66276
44.765,-166.06,0.64573
45.323,-160.69,0.61289
45.81,-156.18,0.58098
46.419,-150.76,0.54508
46.939,-146.23,0.51483
47.568,-140.79,0.47556
48.096,-136.25,0.44428
48.74,-130.82,0.41485
49.278,-126.3,0.39316
49.919,-120.87,0.35502
50.461,-116.36,0.327
51.116,-111.03,0.30533
51.651,-106.69,0.28976
52.294,-101.56,0.26389
52.929,-96.493,0.23741
53.558,-91.475,0.22058
54.2,-86.499,0.20806
54.855,-81.564,0.2047
55.495,-76.685,0.21794
56.136,-71.869,0.21433
56.862,-66.377,0.1959
57.48,-61.788,0.17382
58.174,-56.579,0.13948
58.704,-52.228,0.11936
59.128,-47.272,0.09785
59.196,-41.743,0.080288
58.715,-36.989,0.059962
57.657,-32.413,0.029917
55.848,-27.516,-0.031984
53.395,-23.068,-0.091905
50.299,-19.171,-0.17321
46.733,-15.872,-0.21111
42.351,-12.898,-0.18275
37.849,-10.5,-0.14634
33.387,-8.4492,-0.10155
28.926,-6.7826,-0.084229
24.067,-5.3803,-0.058668
19.19,-4.369,-0.05217
14.143,-3.8403,-0.021077
9.2033,-3.9677,0.0038321
4.4991,-4.9965,0.012796
